src/Evolutionary/TSP/fl417.tsp
445661.3356208034	545487.2064312891	496024.7495796855	 
13596.874433987019	 
src/Evolutionary/TSP/kroA150.tsp
215741.9060473589	299575.0702455478	257558.82495056983	 
10055.575611204811	 
src/Evolutionary/TSP/gr666.tsp
54143.719389006954	61979.15417104424	58450.24755692036	 
1061.2274728023306	 
src/Evolutionary/TSP/berlin52.tsp
23679.52295166995	36236.547783668975	29908.230890450035	 
1604.494983294469	 
src/Evolutionary/TSP/kroA100.tsp
141446.83344503393	204705.31558976715	171057.8447653826	 
8265.124824940058	 
src/Evolutionary/TSP/ali535.tsp
36165.36423653397	41979.78072595218	39294.16945026162	 
791.7420469528357	 
src/Evolutionary/TSP/kroA200.tsp
288325.1226603084	385619.943243976	340318.10738937615	 
11719.389113666573	 
src/Evolutionary/TSP/berlin11_modified.tsp
