Mutation swap, OX
Tournament
pop_size 10
gen 100
px 0.7
pm 0.7
tour_size 5
best	 worst	 average
src/Evolutionary/TSP/fl417.tsp
Greedy
14821.869100310105	16685.002150654942	15636.358928467345	456.4649775772496	 
Evo
14821.869100310105	22948.097844407508	18662.611875695166	 2876.2814486370485	 
Greedy
14821.869100310105	16685.002150654942	15636.358928467342	456.4649775772496	 
Evo
14821.869100310105	23172.492096917256	18257.468314834503	 3128.3129504953145	 
Greedy
14821.869100310105	16685.002150654942	15636.358928467344	456.4649775772497	 
Evo
15276.914480672116	23710.872387313564	18152.269182446045	 3148.4102616718565	 
Greedy
14821.869100310105	16685.002150654942	15636.35892846736	456.46497757724984	 
Evo
15029.989372688342	23471.69779163707	17021.060009771638	 3121.5595045229957	 
Greedy
14821.869100310105	16685.002150654942	15636.35892846736	456.46497757725	 
Evo
16581.454932262302	22195.53504173063	19157.087223504197	 1818.9840302787825	 
Greedy
14821.869100310105	16685.002150654942	15636.358928467356	456.46497757724967	 
Evo
15855.076214385004	24140.268850448523	18417.16064100008	 3429.463618124921	 
Greedy
14821.869100310105	16685.002150654942	15636.358928467373	456.4649775772498	 
Evo
14821.869100310105	23518.652183188588	18470.33056388691	 2803.993075648016	 
Greedy
14821.869100310105	16685.002150654942	15636.358928467356	456.4649775772499	 
Evo
14821.869100310105	23585.065318433735	18654.249974948314	 2711.295135926853	 
Greedy
14821.869100310105	16685.002150654942	15636.358928467345	456.4649775772497	 
Evo
14821.869100310105	23127.82968340853	18623.448822715978	 3134.9508245310567	 
Greedy
14821.869100310105	16685.002150654942	15636.358928467354	456.46497757724995	 
Evo
14910.01522413814	23443.620705142675	17515.891827069907	 2905.3306623780813	 
src/Evolutionary/TSP/kroA150.tsp
Greedy
32660.052141761094	40297.319913246734	37013.131638157975	1824.7387901522536	 
Evo
36165.422896874	46663.09747886203	38772.726308259924	 3440.836814514389	 
Greedy
32660.052141761094	40297.319913246734	37013.13163815797	1824.7387901522543	 
Evo
32660.052141761094	48501.38718428084	37279.75346647079	 4637.517900065443	 
Greedy
32660.052141761094	40297.319913246734	37013.131638157975	1824.7387901522543	 
Evo
32660.052141761094	45231.21463005218	35867.611521930456	 4000.892264530097	 
Greedy
32660.052141761094	40297.319913246734	37013.131638157975	1824.7387901522534	 
Evo
32660.052141761094	47600.26848686838	38281.82119499489	 4957.642834749132	 
Greedy
32660.052141761094	40297.319913246734	37013.13163815796	1824.738790152254	 
Evo
32713.01207123833	39967.198224612584	34514.375990889814	 2656.925035370203	 
Greedy
32660.052141761094	40297.319913246734	37013.131638157975	1824.7387901522538	 
Evo
32660.052141761094	42963.47402746809	35888.316852970296	 3428.530655429611	 
Greedy
32660.052141761094	40297.319913246734	37013.13163815797	1824.738790152254	 
Evo
32628.285974545193	45607.41299446331	36512.659914879754	 4797.426320931078	 
Greedy
32660.052141761094	40297.319913246734	37013.13163815797	1824.738790152254	 
Evo
32660.052141761094	41437.67114320539	37739.7040579197	 3308.760676026852	 
Greedy
32660.052141761094	40297.319913246734	37013.13163815797	1824.7387901522538	 
Evo
32660.052141761094	47472.67817048921	36554.778604769504	 5149.371249350102	 
Greedy
32660.052141761094	40297.319913246734	37013.131638157996	1824.738790152254	 
Evo
32660.052141761094	45948.79978493968	37514.34141431194	 4675.109268849828	 
src/Evolutionary/TSP/gr666.tsp
Greedy
4001.3608162392798	4486.64703801869	4177.427494954085	84.14353234473134	 
Evo
4001.3608162392798	4593.375991002519	4189.126210650403	 220.03873650838716	 
Greedy
4001.3608162392798	4486.64703801869	4177.427494954089	84.1435323447313	 
Evo
4001.3608162392798	4742.880821148245	4133.603377396999	 222.76606244000763	 
Greedy
4001.3608162392798	4486.64703801869	4177.427494954087	84.14353234473137	 
Evo
4001.3608162392798	4307.425723014189	4116.746454807882	 105.80172521426381	 
Greedy
4001.3608162392798	4486.64703801869	4177.427494954083	84.14353234473134	 
Evo
4001.3608162392798	4812.825124363444	4310.193151420712	 255.55941114047724	 
Greedy
4001.3608162392798	4486.64703801869	4177.427494954087	84.14353234473137	 
Evo
4001.3608162392798	4747.955382060737	4185.111729426519	 278.9224839759098	 
Greedy
4001.3608162392798	4486.64703801869	4177.427494954087	84.14353234473137	 
Evo
4001.3608162392798	4472.606517539301	4224.276459812527	 179.66068441827798	 
Greedy
4001.3608162392798	4486.64703801869	4177.427494954086	84.14353234473136	 
Evo
4001.3608162392798	4759.314703059072	4239.85949955778	 250.39751149139423	 
Greedy
4001.3608162392798	4486.64703801869	4177.427494954089	84.14353234473137	 
Evo
4001.3608162392798	4328.826617922214	4112.62837064208	 137.66835061832742	 
Greedy
4001.3608162392798	4486.64703801869	4177.427494954088	84.14353234473136	 
Evo
4164.527650223057	5031.854450224574	4466.766665692813	 247.91761067751548	 
Greedy
4001.3608162392798	4486.64703801869	4177.427494954085	84.14353234473133	 
Evo
4082.226344275104	4586.168333750395	4203.295118050244	 173.87582400655194	 
src/Evolutionary/TSP/berlin52.tsp
Greedy
8588.474819721734	11169.532419657007	9569.884027885892	602.6232427693822	 
Evo
8588.474819721734	10591.670247755828	9376.12109634878	 782.1439870237202	 
Greedy
8588.474819721734	11169.532419657007	9569.884027885892	602.6232427693822	 
Evo
